,Cluster ID,X,Y,Z,Cluster Size (mm3),Tracts
0,1,30.0,-56.0,-37.0,1171,MCP
1,1a,21.0,-55.0,-41.0,,MCP
2,1b,20.0,-63.0,-34.0,,MCP
3,1c,19.0,-51.0,-40.0,,MCP
4,2,-10.0,-32.0,-41.0,1005,MCP
5,2a,-10.0,-22.0,-35.0,,MCP
6,2b,-29.0,-46.0,-39.0,,MCP
7,2c,-19.0,-50.0,-40.0,,MCP
8,3,-24.0,-56.0,-40.0,34,MCP
0,1,4.0,-28.0,-26.0,26,PCT
0,1,0.0,28.0,10.0,1739,gCC
1,1a,-1.0,27.0,0.0,,gCC
0,1,0.0,-5.0,27.0,3167,bCC
1,2,-9.0,-11.0,33.0,21,bCC
0,1,28.0,-56.0,14.0,2044,sCC
1,1a,-20.0,-49.0,14.0,,sCC
2,1b,-10.0,-37.0,19.0,,sCC
3,1c,-20.0,-48.0,11.0,,sCC
0,1,-1.0,-8.0,16.0,22,FX
0,1,11.0,-25.0,-25.0,100,CST.R
0,1,-9.0,-26.0,-28.0,78,CST.L
0,1,5.0,-38.0,-38.0,44,ML.R
1,1a,3.0,-37.0,-28.0,,ML.R
0,1,-2.0,-39.0,-37.0,72,ML.L
0,1,10.0,-46.0,-30.0,64,ICP.R
1,1a,8.0,-52.0,-23.0,,ICP.R
0,1,-11.0,-40.0,-39.0,87,ICP.L
1,1a,-9.0,-48.0,-28.0,,ICP.L
0,1,7.0,-41.0,-24.0,235,SCP.R
0,1,-6.0,-40.0,-24.0,220,SCP.L
0,1,19.0,-18.0,-7.0,235,CP.R
1,1a,12.0,-25.0,-17.0,,CP.R
2,1b,15.0,-19.0,-12.0,,CP.R
3,2,15.0,-11.0,-8.0,95,CP.R
0,1,-18.0,-15.0,-9.0,428,CP.L
1,1a,-12.0,-18.0,-14.0,,CP.L
0,1,23.0,-2.0,18.0,649,ALIC.R
1,1a,12.0,0.0,1.0,,ALIC.R
2,1b,19.0,9.0,8.0,,ALIC.R
0,1,-18.0,12.0,6.0,545,ALIC.L
1,1a,-11.0,10.0,-4.0,,ALIC.L
2,1b,-15.0,9.0,7.0,,ALIC.L
3,1c,-16.0,1.0,9.0,,ALIC.L
0,1,23.0,-15.0,1.0,734,PLIC.R
1,1a,23.0,-16.0,12.0,,PLIC.R
2,1b,22.0,-15.0,3.0,,PLIC.R
