Cluster Index	Voxels	1-p-MAX	1-p-MAX X (vox)	1-p-MAX Y (vox)	1-p-MAX Z (vox)	1-p-COG X (vox)	1-p-COG Y (vox)	1-p-COG Z (vox)
34	7092	0.998	101	152	64	89.1	118	92.7
33	24	0.998	100	108	104	99.1	117	105
32	24	0.998	79	106	104	79.8	114	105
31	10	0.998	70	88	100	70	91.2	101
30	8	0.998	115	71	90	115	69.1	87.9
29	8	0.998	102	108	107	101	112	107
28	3	0.998	64	76	92	64.7	76.7	93
27	2	0.99	75	116	111	75	117	112
26	2	0.998	103	121	108	104	120	108
25	2	0.998	78	120	107	77.5	120	108
24	2	0.998	102	119	107	102	118	108
23	2	0.998	76	95	105	75.5	95	105
22	2	0.976	98	94	87	97.5	94.5	87
21	2	0.998	77	85	101	77	85.5	102
20	2	0.998	102	85	100	102	85.5	100
19	1	0.998	92	143	71	92	143	71
18	1	0.998	89	143	73	89	143	73
17	1	0.998	78	114	108	78	114	108
16	1	0.998	77	111	108	77	111	108
15	1	0.972	104	90	81	104	90	81
14	1	0.996	113	72	93	113	72	93
13	1	0.998	77	107	107	77	107	107
12	1	0.998	103	106	107	103	106	107
11	1	0.998	71	124	106	71	124	106
10	1	0.998	108	118	106	108	118	106
9	1	0.998	74	75	93	74	75	93
8	1	0.998	108	131	104	108	131	104
7	1	0.998	78	102	104	78	102	104
6	1	0.998	103	98	104	103	98	104
5	1	0.998	71	135	103	71	135	103
4	1	0.998	100	105	103	100	105	103
3	1	0.996	78	97	103	78	97	103
2	1	0.984	102	89	102	102	89	102
1	1	0.998	71	141	101	71	141	101
