,Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),Tracts
0,1,23.0,-15.0,10.0,0.9980000257492065,2004,Group_2
1,1a,12.0,0.0,1.0,0.9980000257492065,,Group_2
2,1b,22.0,-13.0,8.0,0.9980000257492065,,Group_2
3,1c,23.0,-2.0,18.0,0.9980000257492065,,Group_2
4,2,12.0,-9.0,0.0,0.9980000257492065,6,Group_2
5,3,13.0,5.0,7.0,0.9980000257492065,1,Group_2
6,4,13.0,12.0,-4.0,0.9980000257492065,3,Group_2
7,5,12.0,-11.0,-3.0,0.9980000257492065,1,Group_2
8,6,-40.0,-35.0,-1.0,0.9980000257492065,3,Group_2
9,7,-18.0,12.0,6.0,0.9980000257492065,1740,Group_2
10,7a,-10.0,-3.0,-2.0,0.9980000257492065,,Group_2
11,7b,-11.0,10.0,-4.0,0.9980000257492065,,Group_2
12,7c,-15.0,-7.0,2.0,0.9980000257492065,,Group_2
13,8,-12.0,-10.0,1.0,0.9980000257492065,3,Group_2
14,9,-16.0,-10.0,-4.0,0.9980000257492065,1,Group_2
15,10,-19.0,-2.0,15.0,0.9980000257492065,7,Group_2
16,11,-22.0,-22.0,2.0,0.9980000257492065,16,Group_2
17,12,-21.0,15.0,18.0,0.9980000257492065,3,Group_2
18,13,-21.0,17.0,17.0,0.9980000257492065,1,Group_2
19,14,-22.0,3.0,18.0,0.9980000257492065,1,Group_2
20,15,-22.0,18.0,11.0,0.9980000257492065,1,Group_2
21,16,-23.0,1.0,18.0,0.9980000257492065,1,Group_2
22,17,-26.0,-10.0,18.0,0.9980000257492065,5,Group_2
23,18,-26.0,-22.0,0.0,0.9980000257492065,2,Group_2
24,19,-27.0,-22.0,-3.0,0.9980000257492065,1,Group_2
25,20,-29.0,-32.0,5.0,0.9980000257492065,3,Group_2
26,21,-28.0,-32.0,9.0,0.9980000257492065,1,Group_2
27,22,-29.0,-31.0,4.0,0.9980000257492065,1,Group_2
28,23,-30.0,-32.0,4.0,0.9980000257492065,1,Group_2
29,24,-33.0,-32.0,8.0,0.9980000257492065,2,Group_2
30,25,-39.0,-37.0,2.0,0.9980000257492065,6,Group_2
