,t1w_diff,t2w_diff,t3w_diff,t4w_diff,t1b_diff,t2b_diff,t3b_diff,t4b_diff
0,0.0986651,0.343267,0.0351901,-0.131373,0.0925961,0.347005,0.219216,0.00189607
3,0.0384293,0.299873,-0.151713,0.120089,-0.047386,0.391913,0.00900492,0.153474
5,0.0454884,0.220885,-0.131121,-0.143388,0.0363259,-0.0374647,0.0929257,0.175576
6,-0.130585,0.0152549,0.0818346,-0.0554783,0.137779,0.0464135,0.430188,-0.00889709
7,0.0355263,0.0586131,-0.058704,-0.000439615,0.0935111,-0.097016,0.344422,0.117123
8,0.0115811,0.0177789,0.0250915,-0.00485913,-0.0576136,0.0402473,0.0374517,0.0281909
9,0.0800248,0.435484,0.0720855,0.170322,0.408514,0.316526,-0.125185,0.155652
10,0.00271987,-0.0281971,0.0335691,-0.0617783,0.0847802,0.0444752,0.021432,-0.0210216
11,0.320798,0.170356,0.075075,0.200492,-0.0286519,0.157335,0.25442,0.0215856
12,-0.0368019,0.31146,0.0980476,0.433308,-0.0024686,0.141195,0.365545,0.00776067
13,0.264713,0.211374,0.411656,0.0549295,0.154105,0.254767,0.310953,0.0196896
14,0.0537937,0.0959725,0.0382006,0.0057099,0.319538,0.283981,0.193666,0.15054
15,0.134938,-0.0434205,0.045743,0.198213,0.26008,-0.0528597,-0.0482525,0.0836338
16,0.409691,0.100426,-0.139519,0.198214,0.0234612,0.0596492,-0.0829156,-0.102982
17,0.0452142,0.0866651,0.106968,0.0843404,0.269289,0.119042,0.245799,0.129145
18,-0.0979638,0.0987332,-0.0938147,0.0733033,0.221995,0.109096,0.172343,0.253924
19,0.411599,0.321609,0.353981,0.0647564,0.341143,0.145373,0.224622,0.178923
20,0.297679,0.0540769,-0.06604,0.075037,0.215137,0.189783,0.09966,0.211775
21,0.257793,0.315594,0.0400588,0.165439,0.369871,0.164772,0.0849197,-0.0266577
23,0.0820525,0.0701888,0.0473654,-0.0316033,0.0991289,0.0420054,0.148839,0.0782717
24,0.0760727,0.381104,0.014289,0.153695,0.192806,0.0766117,0.159012,-0.143905
